Category,Sub-Category,Example Question,Answer
Academic Matters,Course Registration,How do I register for my courses next semester?,You can register through the Student Portal under Course Registration.
Academic Matters,Course Registration,When does course registration usually open?,Registration dates are listed in the academic calendar.
Academic Matters,Course Registration,What should I do if a course is full?,You can request capacity review from your department.
Academic Matters,Course Registration,I can’t register due to a prerequisite error. What do I do?,Contact your academic advisor to verify your prerequisites.
Academic Matters,Course Registration,How do I add or drop a course?,Use the add/drop function in the Student Portal.
Academic Matters,Course Registration,When is the add/drop deadline?,The deadline is shown in the academic calendar on the UTP website.
Academic Matters,Course Registration,How do I check if I am eligible to register?,Ensure you have no outstanding fees and have met prerequisites.
Academic Matters,Course Registration,Can I retake a course I failed?,"Yes, you may retake the course in the next available semester."
Academic Matters,Course Registration,How do I register for a lab session?,Select your preferred lab slot during course registration.
Academic Matters,Course Registration,Can I register late?,Late registration is only allowed with approval.
Academic Matters,Course Registration,Why can’t I see a course in the portal?,It may not be offered this semester or may be restricted.
Academic Matters,Course Registration,How do I know my curriculum structure?,You can check it in the Student Portal under Academic Information.
Academic Matters,Course Registration,Can I take more credits than the limit?,You need approval from your faculty.
Academic Matters,Course Registration,How do I register for FYP?,It appears as a course in the portal when you are eligible.
Academic Matters,Course Registration,How do I register for internship?,"Internship registration is done through the internship system, not the portal."
Academic Matters,Course Registration,How do I change tutorial groups?,Contact your department or tutor to request a change.
Academic Matters,Course Registration,What does “not eligible” mean during registration?,You may have unmet prerequisites or unpaid fees.
Academic Matters,Course Registration,Can I register for courses from other departments?,"Yes, if they are open electives and have available slots."
Academic Matters,Course Registration,How do I confirm my registered courses?,Check your course list in the Student Portal.
Academic Matters,Course Registration,What should I do if I accidentally dropped a course?,Re-add it before the deadline or contact your faculty.
Academic Matters,Course Registration,How do I check credit hours?,Your curriculum structure shows all required credits.
Academic Matters,Course Registration,What are elective courses?,Electives are optional courses chosen from a list.
Academic Matters,Course Registration,Can I swap lab groups?,Some courses allow swapping; ask the lecturer in charge.
Academic Matters,Course Registration,How many credit hours can I take per semester?,The limit depends on your program’s academic policy.
Academic Matters,Course Registration,How do I join a waiting list for a course?,Some departments allow it; contact them directly.
Academic Matters,Course Registration,Can I drop a course after the deadline?,Only with special approval.
Academic Matters,Course Registration,Do I need advisor approval for registration?,Some programs require it; check with your advisor.
Academic Matters,Course Registration,What do I do if my portal shows an “advisor hold”?,Contact your academic advisor to clear it.
Academic Matters,Course Registration,How do I change my major?,Submit a program change request through your faculty.
Academic Matters,Course Registration,How do I check my class list?,It is available in your portal after registration.
Academic Matters,Course Registration,What is the minimum credit load?,It depends on your program’s academic rules.
Academic Matters,Exams & Results,When will the final exam schedule be posted?,It is usually released a few weeks before exams start.
Academic Matters,Exams & Results,How do I know my exam venue?,It will be stated in the exam timetable.
Academic Matters,Exams & Results,Where do I check my exam results?,You can view them in the Student Portal.
Academic Matters,Exams & Results,How do I appeal my grade?,Submit a grade review request through your faculty.
Academic Matters,Exams & Results,What happens if I miss an exam?,You must submit a valid reason for special consideration.
Academic Matters,Exams & Results,How do I apply for a makeup exam?,Contact your faculty and submit supporting documents.
Academic Matters,Exams & Results,What is the passing grade for a course?,It depends on your program’s grading policy.
Academic Matters,Exams & Results,How do I view my CGPA?,Your CGPA is shown in the Student Portal under results.
Academic Matters,Exams & Results,Why is my grade not displayed yet?,Some results may still be under verification.
Academic Matters,Exams & Results,How are grades calculated?,"They are based on assessments, assignments, and exams."
Academic Matters,Exams & Results,Can I check my exam paper?,Some lecturers allow review sessions after results are released.
Academic Matters,Exams & Results,What is a supplementary exam?,It is a makeup exam for those who qualify.
Academic Matters,Exams & Results,How do I apply for a remarking?,Submit a request through your faculty office.
Academic Matters,Exams & Results,When is the exam week?,It is listed in the academic calendar.
Academic Matters,Exams & Results,Can I bring a calculator to exams?,Only approved calculators are allowed.
Academic Matters,Exams & Results,What should I bring to exams?,Bring your student ID and required materials.
Academic Matters,Exams & Results,How do I submit medical proof for missed exams?,Upload documents to the portal or submit physically at the faculty.
Academic Matters,Exams & Results,What is considered cheating?,Any unauthorized aid or violation of exam rules.
Academic Matters,Exams & Results,How do I check the exam seating plan?,It is posted before exams begin.
Academic Matters,Exams & Results,When will midterm results be out?,It depends on each lecturer’s timeline.
Academic Matters,Exams & Results,Can I request extra time for exams?,Only students with approved accommodations may receive extra time.
Academic Matters,Exams & Results,How is coursework percentage calculated?,Lecturers provide the breakdown in the course outline.
Academic Matters,Exams & Results,How long does grade appeal take?,Processing time varies by faculty.
Academic Matters,Exams & Results,Why is my GPA low this semester?,It depends on the grades you earned.
Academic Matters,Exams & Results,How do I improve my CGPA?,Focus on achieving better grades in upcoming semesters.
Academic Matters,Exams & Results,What does “I” grade mean?,It usually means incomplete assessment.
Academic Matters,Timetable & Calendar,Where can I download the academic calendar?,It is available on the UTP website and portal.
Academic Matters,Timetable & Calendar,When does the semester start?,Check the academic calendar for the official date.
Academic Matters,Timetable & Calendar,How do I check my class timetable?,Your timetable is visible in the Student Portal.
